t,x(t),dx/dt
3.1199999999e+01,3.0947933562e+01,9.8415152034e-01
3.1299999999e+01,3.1046346132e+01,9.8409987406e-01
3.1399999999e+01,3.1144753537e+01,9.8404822222e-01
3.1499999999e+01,3.1243155776e+01,9.8399656483e-01
3.1599999999e+01,3.1341552849e+01,9.8394490187e-01
3.1699999999e+01,3.1439944756e+01,9.8389323335e-01
3.1799999999e+01,3.1538331496e+01,9.8384155927e-01
3.1899999999e+01,3.1636713068e+01,9.8378987962e-01
3.1999999999e+01,3.1735089472e+01,9.8373819441e-01
3.2099999999e+01,3.1833460707e+01,9.8368650363e-01
3.2199999999e+01,3.1931826772e+01,9.8363480727e-01
3.2299999999e+01,3.2030187668e+01,9.8358310534e-01
3.2399999999e+01,3.2128543393e+01,9.8353139783e-01
3.2499999999e+01,3.2226893947e+01,9.8347968475e-01
3.2599999999e+01,3.2325239330e+01,9.8342796609e-01
3.2699999999e+01,3.2423579540e+01,9.8337624184e-01
3.2799999999e+01,3.2521914578e+01,9.8332451202e-01
3.2899999999e+01,3.2620244443e+01,9.8327277660e-01
3.2999999999e+01,3.2718569133e+01,9.8322103560e-01
3.3099999999e+01,3.2816888649e+01,9.8316928902e-01
3.3199999999e+01,3.2915202991e+01,9.8311753683e-01
3.3299999999e+01,3.3013512157e+01,9.8306577906e-01
3.3399999999e+01,3.3111816146e+01,9.8301401569e-01
3.3499999999e+01,3.3210114960e+01,9.8296224673e-01
3.3599999999e+01,3.3308408596e+01,9.8291047216e-01
3.3699999999e+01,3.3406697054e+01,9.8285869200e-01
3.3800000000e+01,3.3504980334e+01,9.8280690623e-01
3.3900000000e+01,3.3603258435e+01,9.8275511485e-01
3.4000000000e+01,3.3701531357e+01,9.8270331787e-01
3.4100000000e+01,3.3799799098e+01,9.8265151528e-01
3.4200000000e+01,3.3898061659e+01,9.8259970708e-01
3.4300000000e+01,3.3996319040e+01,9.8254789327e-01
3.4400000000e+01,3.4094571238e+01,9.8249607384e-01
3.4500000000e+01,3.4192818254e+01,9.8244424879e-01
3.4600000000e+01,3.4291060087e+01,9.8239241813e-01
3.4700000000e+01,3.4389296738e+01,9.8234058184e-01
3.4800000000e+01,3.4487528204e+01,9.8228873993e-01
3.4900000000e+01,3.4585754485e+01,9.8223689240e-01
3.5000000000e+01,3.4683975582e+01,9.8218503924e-01
3.5100000000e+01,3.4782191493e+01,9.8213318045e-01
3.5200000000e+01,3.4880402218e+01,9.8208131603e-01
3.5300000000e+01,3.4978607756e+01,9.8202944598e-01
3.5400000000e+01,3.5076808107e+01,9.8197757029e-01
3.5500000000e+01,3.5175003270e+01,9.8192568897e-01
3.5600000000e+01,3.5273193244e+01,9.8187380201e-01
3.5700000000e+01,3.5371378030e+01,9.8182190941e-01
3.5800000000e+01,3.5469557626e+01,9.8177001116e-01
3.5900000000e+01,3.5567732032e+01,9.8171810727e-01
3.6000000000e+01,3.5665901247e+01,9.8166619773e-01
3.6100000000e+01,3.5764065272e+01,9.8161428255e-01
3.6200000000e+01,3.5862224104e+01,9.8156236171e-01
3.6300000000e+01,3.5960377744e+01,9.8151043522e-01
3.6400000000e+01,3.6058526191e+01,9.8145850308e-01
3.6500000000e+01,3.6156669444e+01,9.8140656528e-01
3.6600000000e+01,3.6254807503e+01,9.8135462182e-01
3.6700000000e+01,3.6352940368e+01,9.8130267270e-01
3.6800000000e+01,3.6451068038e+01,9.8125071792e-01
3.6900000001e+01,3.6549190512e+01,9.8119875747e-01
3.7000000001e+01,3.6647307789e+01,9.8114679136e-01
3.7100000001e+01,3.6745419870e+01,9.8109481958e-01
3.7200000001e+01,3.6843526753e+01,9.8104284213e-01
3.7300000001e+01,3.6941628438e+01,9.8099085900e-01
3.7400000001e+01,3.7039724924e+01,9.8093887020e-01
3.7500000001e+01,3.7137816212e+01,9.8088687572e-01
3.7600000001e+01,3.7235902299e+01,9.8083487557e-01
3.7700000001e+01,3.7333983187e+01,9.8078286973e-01
3.7800000001e+01,3.7432058873e+01,9.8073085821e-01
3.7900000001e+01,3.7530129358e+01,9.8067884101e-01
3.8000000001e+01,3.7628194641e+01,9.8062681812e-01
3.8100000001e+01,3.7726254722e+01,9.8057478954e-01
3.8200000001e+01,3.7824309599e+01,9.8052275527e-01
3.8300000001e+01,3.7922359272e+01,9.8047071530e-01
